TVDSS,WELL,NPHI,GR,RHOB,PHIE,VSH
3245.66286,N18,0.17957,43.672,2.388,0.142399,0.2386
3245.81526,N18,0.23358,43.571,2.439,0.123115,0.3714
3246.12006,N18,0.21692,54.86,2.417,0.113388,0.432
3246.27246,N18,0.16879,53.271,2.406,0.131955,0.236
3246.42486,N18,0.14123,46.27,2.439,0.114501,0.203
3246.57726,N18,0.12172,39.295,2.475,0.093009,0.2051
3246.72966,N18,0.11653,35.027,2.452,0.110652,0.14
3246.88206,N18,0.11854,31.016,2.43,0.125956,0.1029
3247.03446,N18,0.12055,30.609,2.418,0.134092,0.086
3247.18686,N18,0.11513,30.202,2.406,0.143869,0.0423
3247.33926,N18,0.10187,29.139,2.399,0.148123,0.0
3247.49166,N18,0.09603,24.423,2.399,0.14544,0.0
3247.64406,N18,0.0937,19.706,2.389,0.147718,0.0
3247.79646,N18,0.10465,16.346,2.359,0.162938,0.0
3247.94886,N18,0.1156,17.321,2.342,0.173746,0.0
3248.10126,N18,0.12067,18.296,2.325,0.181865,0.0
3248.25366,N18,0.12732,18.486,2.336,0.181082,0.0
3248.40606,N18,0.12842,17.022,2.347,0.177785,0.0
3248.55846,N18,0.13114,15.559,2.35,0.177951,0.0
3248.71086,N18,0.12813,14.203,2.349,0.176968,0.0
3248.86326,N18,0.12278,14.02,2.344,0.176305,0.0
3249.01566,N18,0.12204,13.837,2.333,0.179744,0.0
3249.16806,N18,0.12252,13.774,2.327,0.182018,0.0
3249.32046,N18,0.12301,13.835,2.326,0.182583,0.0
3249.47286,N18,0.12107,13.896,2.315,0.185473,0.0
3249.62526,N18,0.11877,13.957,2.303,0.188527,0.0
3249.77766,N18,0.12162,14.203,2.3,0.190865,0.0
3249.93006,N18,0.12778,14.569,2.302,0.192986,0.0
3250.08246,N18,0.13394,14.935,2.303,0.195413,0.0
3250.23486,N18,0.12438,15.301,2.301,0.191785,0.0
3250.38726,N18,0.1145,13.952,2.309,0.184502,0.0
3250.53966,N18,0.11076,11.939,2.334,0.174252,0.0
3250.69206,N18,0.11036,10.362,2.339,0.172367,0.0
3250.84446,N18,0.11118,11.679,2.334,0.174446,0.0
3250.99686,N18,0.10469,12.509,2.326,0.174137,0.0
3251.14926,N18,0.09821,12.875,2.329,0.170048,0.0
3251.30166,N18,0.09376,12.929,2.333,0.166562,0.0
3251.45406,N18,0.09564,12.746,2.332,0.167805,0.0
3251.60646,N18,0.09752,12.563,2.327,0.170392,0.0
3251.75886,N18,0.11608,12.381,2.32,0.181477,0.0
3251.91126,N18,0.14571,16.092,2.307,0.199225,0.0
3252.06366,N18,0.19451,21.621,2.29,0.225732,0.0
3252.21606,N18,0.24331,27.151,2.301,0.233374,0.043
3253.28286,N18,0.34163,73.886,2.57,0.0,0.9777
3253.43526,N18,0.37066,75.349,2.56,0.0,1.0
3253.74006,N18,0.3715,78.276,2.535,0.0,1.0
3254.04486,N18,0.26587,61.693,2.481,0.057508,0.7339
3254.19726,N18,0.21306,51.87,2.454,0.087851,0.4926
3254.34966,N18,0.16024,42.047,2.424,0.121005,0.2414
3254.50206,N18,0.17572,35.623,2.393,0.143752,0.2125
3254.65446,N18,0.19183,43.38,2.361,0.158924,0.2285
3254.80686,N18,0.16537,51.137,2.396,0.139852,0.2035
3254.95926,N18,0.13891,58.893,2.438,0.115729,0.1926
3255.11166,N18,0.13179,52.775,2.458,0.102989,0.2072
3255.26406,N18,0.13221,46.004,2.429,0.123647,0.1503
3255.41646,N18,0.13604,42.374,2.41,0.136374,0.1258
3255.56886,N18,0.13961,44.203,2.405,0.139153,0.1286
3255.72126,N18,0.13733,45.137,2.407,0.138231,0.1244
3255.87366,N18,0.12431,44.844,2.418,0.133259,0.0996
3256.02606,N18,0.1143,41.261,2.429,0.127609,0.0856
3256.17846,N18,0.10937,38.357,2.441,0.12011,0.092
3256.33086,N18,0.12733,38.336,2.44,0.11686,0.1548
3256.48326,N18,0.16725,43.704,2.427,0.117306,0.2728
3256.63566,N18,0.22725,49.072,2.415,0.11251,0.4652
3256.94047,N18,0.23087,55.813,2.446,0.089593,0.5408
3257.09287,N18,0.17121,48.935,2.461,0.092136,0.3556
3257.24527,N18,0.11617,42.056,2.445,0.115745,0.1246
3257.39767,N18,0.13554,36.071,2.428,0.123624,0.1603
3257.55007,N18,0.1549,39.752,2.411,0.131473,0.1959
3257.70247,N18,0.17426,43.932,2.395,0.138587,0.2336
3257.85487,N18,0.17474,47.624,2.415,0.124208,0.2756
3258.00727,N18,0.15605,48.965,2.444,0.107646,0.2666
3258.15967,N18,0.13736,48.922,2.473,0.09101,0.2576
3258.76927,N18,0.08141,30.056,2.433,0.127224,0.0
3258.92167,N18,0.07703,25.34,2.439,0.123149,0.0
3259.07407,N18,0.08165,25.09,2.446,0.122671,0.0018
3259.22647,N18,0.09974,31.53,2.454,0.112914,0.0834
3259.37887,N18,0.13364,37.969,2.466,0.096849,0.23
3259.53127,N18,0.17197,45.364,2.482,0.076938,0.4007
3259.68367,N18,0.21029,57.695,2.499,0.056312,0.5733
3259.83607,N18,0.23066,70.026,2.507,0.046088,0.663
